id,Home team,Home team score, Host team,Host team score,Home team win odd,Draw odd,Host team win odd,Event result type,leaguelink,season
0x644D6210AF9E4797A6D2AC7F64C40F8A00000000000000000000000000000000,Chelsea,1,Stoke,1,1.530,4.240,6.900,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x659492C83E8E42B7A6BFA621D2690E0000000000000000000000000000000000,Liverpool,1,Swansea,0,1.490,4.380,7.440,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x65B84EA02A2C457385563621B9D5B41F00000000000000000000000000000000,West Ham,3,Bournemouth,4,2.590,3.460,2.830,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6727732D9B6A4B59BC952FD10650F96A00000000000000000000000000000000,Leicester,0,Manchester City,0,4.100,3.900,1.880,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x68750CD0F0C745A79E213EB6559ACFC900000000000000000000000000000000,Everton,2,West Ham,3,1.660,4.080,5.360,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x69E6EC46C4114A9A9EA6AC9EE5FDC6F200000000000000000000000000000000,Bournemouth,3,Everton,3,2.660,3.530,2.670,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x69EAAA8EEC6F48809C9F109724DC748C00000000000000000000000000000000,Watford,0,Bournemouth,0,2.620,3.260,2.890,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6B7C4F66BF5F4355993AC34C59A4555200000000000000000000000000000000,Manchester City,3,Chelsea,0,2.000,3.560,3.980,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6C15F11ED06A4A78AF10C26F93AAD72E00000000000000000000000000000000,Southampton,4,Manchester City,2,2.400,3.480,3.030,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6CA97FF96ED243CA8D0ADF6D83C2C1BB00000000000000000000000000000000,Swansea,2,Manchester Utd,1,3.750,3.350,2.140,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6CBC06BEBB9D4BF9A3A6DA4674CF0CA800000000000000000000000000000000,Chelsea,1,Manchester Utd,1,2.170,3.250,3.770,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6D423C1AD1DB4A378A0303203159E6B200000000000000000000000000000000,West Brom,1,Sunderland,0,2.110,3.270,3.880,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6DE3105681674CF288293B0F8CB8FC7B00000000000000000000000000000000,Watford,1,Tottenham,2,3.240,3.370,2.340,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6ED6C04A087F4995AA730971E509650500000000000000000000000000000000,Stoke,2,Manchester Utd,0,3.600,3.260,2.240,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6EEFA67ECA454D3EADA6D47DFB2AF4BF00000000000000000000000000000000,Newcastle,2,Chelsea,2,5.620,4.150,1.630,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6F37FCCBC0C34F62B898229D601FB3C500000000000000000000000000000000,Arsenal,1,Tottenham,1,1.800,3.890,4.510,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6F3EDA6953BA4E839CBF0928849FEC1400000000000000000000000000000000,Sunderland,0,Arsenal,0,5.380,4.150,1.650,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7051F825C2244F34A67686ABF859D69C00000000000000000000000000000000,Stoke,1,Crystal Palace,2,2.520,3.200,3.050,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x70CAAB7FA9804295A4557DF5C5AF5D3100000000000000000000000000000000,Newcastle,2,Liverpool,0,6.100,4.340,1.560,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7212CB28DFB04657AD2F51A5ECCE5DFB00000000000000000000000000000000,Bournemouth,1,Chelsea,4,3.450,3.540,2.150,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x730FA590EA0B4148BFB2E8CBC9F4B97A00000000000000000000000000000000,Newcastle,3,Swansea,0,2.430,3.370,3.070,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7381588D0A3A4271AF645FBA657E7E8D00000000000000000000000000000000,Arsenal,4,Watford,0,1.350,5.290,9.460,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x74784BA1CE5541E4B649143EC363C4BE00000000000000000000000000000000,Southampton,1,Chelsea,2,3.140,3.260,2.430,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x76E1DBED3F0249F38A50849DA40DCE3700000000000000000000000000000000,Leicester,2,Chelsea,1,3.400,3.460,2.220,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x76E5C9B1441C4EC38B4F83922A5D6B3F00000000000000000000000000000000,Tottenham,0,Chelsea,0,2.640,3.320,2.820,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x770ECAF388284BFAB2414B60C3AF2B6300000000000000000000000000000000,West Ham,1,West Brom,1,2.130,3.300,3.820,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x789AE171813A489F9CCB04DBC6E1E9B500000000000000000000000000000000,Arsenal,2,Everton,1,1.400,5.210,8.050,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7994B684A3A3476F855E1DB9E705C02200000000000000000000000000000000,Leicester,2,Arsenal,5,4.590,3.950,1.770,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x79EFE5D5FA924C37A42FE47EA6546CDC00000000000000000000000000000000,Leicester,1,Southampton,0,2.320,3.260,3.380,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7A9B19BC54444953A6671CA9F14F3F8400000000000000000000000000000000,West Ham,1,Sunderland,0,1.850,3.660,4.560,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x7BE35D9C6B3C451E94C1C9319AAFA75400000000000000000000000000000000,West Brom,1,Manchester Utd,0,4.400,3.420,1.930,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
